16,0,12,10,16,25,17,17,16,18
16,36,0,21,33,0,22,20,0,12
5,55,26,63,59,59,24,55,58,13
27,31,22,20,36,33,24,28,32,32
39,45,37,30,32,20,24,0,30,0
18,15,15,11,10,19,17,14,13,15
12,12,12,16,15,14,16,17,9,20
20,21,18,17,20,20,21,21,20,21
29,22,29,29,26,31,26,29,27,28
5,4,11,9,6,13,7,5,13,13
1,2,2,4,0,7,1,3,2,2
13,11,18,0,18,18,16,19,16,18
0,0,0,0,0,0,0,0,5,0
0,3,0,0,0,0,3,0,0,0
0,0,5,4,0,0,0,0,1,0
0,0,24,8,19,0,12,1,19,0
26,30,7,22,35,26,31,26,22,32
8,24,11,14,15,15,18,19,11,12
3,0,0,0,0,16,4,0,0,0
0,1,1,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,2,1,2,0,1
0,0,2,0,0,0,0,1,0,0
10,16,11,12,12,17,10,13,13,17
1,0,0,1,0,0,0,2,1,2
0,0,0,0,0,1,0,0,1,0
36,49,39,36,36,44,47,37,35,40
29,20,24,32,19,38,24,23,22,25
31,21,27,32,37,33,29,29,33,32
1,6,6,3,6,7,10,3,6,5
37,34,28,33,33,32,35,27,37,31
40,42,43,44,44,46,37,39,48,43
53,43,38,46,48,37,48,51,35,46
0,26,9,0,0,0,32,0,30,17
25,1,7,1,9,1,0,1,0,0
16,12,16,19,21,20,25,23,24,22
19,18,9,2,0,39,30,50,47,42
9,5,6,0,7,7,7,11,0,3
44,35,37,23,38,0,39,42,39,40
29,28,28,27,34,29,28,28,32,29
25,15,26,21,22,22,22,16,14,16
44,41,40,41,45,44,50,46,37,37
15,20,11,12,19,11,16,13,14,18
44,49,45,45,52,49,1,50,45,54
2,1,0,2,0,2,4,0,1,1
0,3,4,12,12,0,0,0,10,0
23,22,24,18,20,20,17,20,34,25
15,19,17,27,22,14,0,17,24,12
11,7,9,11,14,7,12,14,10,10
0,0,31,34,1,0,40,0,0,20
3,1,4,2,0,8,1,1,1,2
0,0,0,7,19,0,6,14,0,0
3,1,11,0,0,0,0,0,5,4
12,2,0,0,16,1,0,16,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
5,12,0,1,0,4,1,5,3,3
8,1,5,3,9,3,4,4,5,5
5,9,0,1,2,1,2,4,7,6
1,0,0,1,0,0,0,2,3,0
0,0,0,0,0,1,1,0,0,1
2,0,3,0,0,0,0,0,0,5
4,4,4,5,6,5,1,7,5,4
1,0,0,0,0,2,0,0,0,0
8,2,0,3,3,3,0,2,7,0
3,0,1,5,5,3,0,0,5,3
0,0,0,3,0,0,0,2,0,0
10,0,0,0,0,3,2,0,4,5
0,0,0,0,1,0,0,1,0,0
3,0,5,4,6,2,5,5,2,4
0,0,1,2,0,1,0,1,2,0
0,1,0,0,0,0,0,1,2,0
1,2,0,0,0,1,0,2,1,2
0,0,1,0,0,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0
11,12,16,17,16,19,13,13,18,15
12,9,18,13,10,10,10,17,9,11
28,29,26,32,28,31,29,0,36,36
12,9,19,0,16,17,10,10,22,15
18,17,18,18,15,15,22,14,16,18
6,8,6,12,3,12,6,10,4,9
16,18,11,12,9,17,13,16,19,14
17,18,24,8,11,16,20,16,24,18
17,2,6,7,10,7,5,8,7,11
19,19,20,14,18,19,20,23,23,15
21,18,12,11,16,21,14,18,19,19
32,25,24,23,29,31,24,22,39,30
26,13,15,24,16,16,23,20,26,18
16,25,22,22,14,15,24,11,15,25
26,26,23,19,19,22,23,21,20,19
22,16,25,15,21,26,14,22,21,16
26,29,30,32,28,34,27,34,29,30
47,52,47,47,46,46,35,47,40,49
11,8,7,5,11,6,6,9,1,4
21,17,16,13,18,14,16,21,16,25
20,20,17,19,20,16,20,24,23,14
49,36,44,39,35,52,46,0,44,39
10,7,9,12,11,7,10,11,11,6
20,20,17,15,16,20,20,23,21,18
59,64,60,62,62,67,63,61,61,64
54,40,53,51,60,61,47,45,47,48
