avg_node_degree,gain_resistance_chance,num_nodes,recovery_chance,virus_check_frequency,virus_spread_chance,scenario,policy,model
2.0,0.74951171875,91.0,0.59658203125,0.73896484375,0.57900390625,103,None,VirusOnNetwork
2.0,0.74951171875,91.0,0.59658203125,0.46474609375,0.44189453125,104,None,VirusOnNetwork
2.0,0.34697265625,21.0,0.94990234375,0.73896484375,0.44189453125,105,None,VirusOnNetwork
6.0,0.74951171875,21.0,0.94990234375,0.73896484375,0.44189453125,106,None,VirusOnNetwork
6.0,0.34697265625,91.0,0.94990234375,0.73896484375,0.44189453125,107,None,VirusOnNetwork
6.0,0.34697265625,21.0,0.59658203125,0.73896484375,0.44189453125,108,None,VirusOnNetwork
6.0,0.34697265625,21.0,0.94990234375,0.46474609375,0.44189453125,109,None,VirusOnNetwork
6.0,0.34697265625,21.0,0.94990234375,0.73896484375,0.57900390625,110,None,VirusOnNetwork
6.0,0.34697265625,21.0,0.94990234375,0.73896484375,0.44189453125,111,None,VirusOnNetwork
2.0,0.27138671875,14.0,0.51220703125,0.66162109375,0.32587890625000004,112,None,VirusOnNetwork
8.0,0.27138671875,14.0,0.51220703125,0.66162109375,0.32587890625000004,113,None,VirusOnNetwork
2.0,0.82509765625,14.0,0.51220703125,0.66162109375,0.32587890625000004,114,None,VirusOnNetwork
2.0,0.27138671875,12.0,0.51220703125,0.66162109375,0.32587890625000004,115,None,VirusOnNetwork
2.0,0.27138671875,14.0,0.47177734375,0.66162109375,0.32587890625000004,116,None,VirusOnNetwork
2.0,0.27138671875,14.0,0.51220703125,0.76708984375,0.32587890625000004,117,None,VirusOnNetwork
2.0,0.27138671875,14.0,0.51220703125,0.66162109375,0.30126953125,118,None,VirusOnNetwork
2.0,0.82509765625,12.0,0.47177734375,0.76708984375,0.30126953125,119,None,VirusOnNetwork
8.0,0.27138671875,12.0,0.47177734375,0.76708984375,0.30126953125,120,None,VirusOnNetwork
8.0,0.82509765625,14.0,0.47177734375,0.76708984375,0.30126953125,121,None,VirusOnNetwork
8.0,0.82509765625,12.0,0.51220703125,0.76708984375,0.30126953125,122,None,VirusOnNetwork
8.0,0.82509765625,12.0,0.47177734375,0.66162109375,0.30126953125,123,None,VirusOnNetwork
8.0,0.82509765625,12.0,0.47177734375,0.76708984375,0.32587890625000004,124,None,VirusOnNetwork
8.0,0.82509765625,12.0,0.47177734375,0.76708984375,0.30126953125,125,None,VirusOnNetwork
5.0,0.72138671875,60.0,0.96220703125,0.21162109375,0.77587890625,126,None,VirusOnNetwork
5.0,0.72138671875,60.0,0.96220703125,0.21162109375,0.77587890625,127,None,VirusOnNetwork
5.0,0.37509765625,60.0,0.96220703125,0.21162109375,0.77587890625,128,None,VirusOnNetwork
5.0,0.72138671875,58.0,0.96220703125,0.21162109375,0.77587890625,129,None,VirusOnNetwork
5.0,0.72138671875,60.0,0.92177734375,0.21162109375,0.77587890625,130,None,VirusOnNetwork
5.0,0.72138671875,60.0,0.96220703125,0.31708984375000004,0.77587890625,131,None,VirusOnNetwork
5.0,0.72138671875,60.0,0.96220703125,0.21162109375,0.75126953125,132,None,VirusOnNetwork
5.0,0.37509765625,58.0,0.92177734375,0.31708984375000004,0.75126953125,133,None,VirusOnNetwork
5.0,0.72138671875,58.0,0.92177734375,0.31708984375000004,0.75126953125,134,None,VirusOnNetwork
5.0,0.37509765625,60.0,0.92177734375,0.31708984375000004,0.75126953125,135,None,VirusOnNetwork
5.0,0.37509765625,58.0,0.96220703125,0.31708984375000004,0.75126953125,136,None,VirusOnNetwork
5.0,0.37509765625,58.0,0.92177734375,0.21162109375,0.75126953125,137,None,VirusOnNetwork
5.0,0.37509765625,58.0,0.92177734375,0.31708984375000004,0.77587890625,138,None,VirusOnNetwork
5.0,0.37509765625,58.0,0.92177734375,0.31708984375000004,0.75126953125,139,None,VirusOnNetwork
7.0,0.49638671875000007,37.0,0.28720703125,0.43662109375,0.55087890625,140,None,VirusOnNetwork
6.0,0.49638671875000007,37.0,0.28720703125,0.43662109375,0.55087890625,141,None,VirusOnNetwork
7.0,0.15009765625000002,37.0,0.28720703125,0.43662109375,0.55087890625,142,None,VirusOnNetwork
7.0,0.49638671875000007,81.0,0.28720703125,0.43662109375,0.55087890625,143,None,VirusOnNetwork
