61,69,84,63,83
73,69,60,76,74
83,66,69,76,74
69,74,83,77,70
73,59,76,87,70
84,62,83,69,80
76,75,70,81,76
84,69,68,63,68
75,69,69,74,83
78,81,72,75,89
76,80,54,77,73
63,65,72,82,73
68,75,63,78,89
87,70,53,71,70
57,78,73,72,83
76,70,64,63,82
77,90,91,72,65
70,64,79,57,71
73,66,75,65,102
77,72,75,70,73
70,80,80,100,70
62,70,69,72,86
80,88,72,89,73
72,58,69,71,79
69,71,51,74,71
61,77,60,91,76
73,72,71,80,54
87,64,65,77,68
90,72,71,64,77
75,90,62,78,88
71,87,77,81,64
77,61,71,83,63
76,73,62,85,63
78,71,64,82,65
61,90,75,67,73
74,72,80,85,69
74,79,84,76,67
59,78,60,67,60
86,50,69,86,77
67,76,82,68,78
85,66,79,48,68
64,63,80,75,86
74,64,85,75,73
75,77,79,61,72
73,81,96,87,82
83,62,79,62,88
86,69,77,88,66
69,76,74,76,66
67,86,69,66,65
75,51,90,65,73
69,71,69,80,81
79,67,76,62,86
77,80,57,70,75
72,60,67,101,89
65,72,61,76,50
76,80,82,79,83
66,51,51,76,85
82,57,58,59,87
77,75,88,79,81
61,76,68,70,72
64,79,58,80,57
72,76,92,75,69
66,87,73,72,81
65,66,56,85,56
70,68,82,72,75
72,69,70,65,81
84,62,68,73,82
67,65,70,71,55
83,64,85,76,62
66,58,90,93,60
48,89,84,75,60
67,67,72,70,59
68,62,71,61,69
79,72,92,81,70
70,79,86,58,83
91,74,71,88,86
89,67,76,70,76
71,63,72,69,97
74,90,70,81,63
79,78,80,87,67
81,80,64,80,80
79,65,76,67,66
60,70,77,60,83
71,77,89,69,65
58,55,71,77,77
70,65,88,75,87
80,67,62,70,69
71,88,70,68,55
62,66,67,55,87
88,62,85,80,78
78,62,71,79,73
74,74,74,64,67
79,72,79,75,78
83,81,83,82,58
77,53,80,65,88
67,78,82,91,77
73,71,97,91,99
61,86,71,72,81
84,71,67,71,63
70,91,66,73,79
83,71,67,79,65
61,76,79,62,70
68,79,59,69,75
88,65,67,82,71
75,57,86,62,65
84,77,88,87,71
70,74,81,78,85
80,85,59,57,74
58,57,73,73,68
54,65,93,48,72
74,70,93,69,70
69,61,77,92,67
60,92,51,70,65
72,69,77,74,69
71,64,75,88,70
63,79,66,76,87
64,72,65,64,66
70,66,71,64,87
65,81,72,79,61
110,76,74,78,78
91,82,64,69,75
78,79,77,76,53
79,85,67,70,62
61,81,73,84,75
72,86,86,73,73
71,65,78,80,68
78,57,91,77,76
65,63,70,74,63
93,70,70,60,84
68,68,85,68,86
65,71,74,62,82
61,73,66,72,95
77,65,61,74,79
71,68,91,99,84
86,86,68,70,59
86,76,68,90,66
87,69,69,80,67
63,78,58,74,65
63,71,46,79,75
86,92,69,81,100
83,71,81,87,65
77,70,54,66,55
73,65,83,79,76
67,84,80,94,66
68,83,88,76,50
66,68,90,70,98
74,68,63,75,80
65,76,81,82,65
64,76,63,77,79
62,68,60,76,71
109,80,71,71,72
69,62,68,76,73
78,59,65,59,89
47,60,72,66,59
74,89,58,53,65
71,105,64,58,81
76,57,61,90,70
70,72,71,75,57
61,70,63,62,71
73,52,79,77,63
85,59,75,63,71
72,67,86,98,69
103,63,72,75,71
89,65,61,52,90
81,61,89,72,75
72,79,65,62,90
80,92,78,76,58
86,70,66,82,66
69,70,56,69,79
60,97,98,76,104
73,85,66,71,53
80,72,84,71,88
71,65,65,52,71
97,84,81,66,72
76,81,61,75,59
80,82,79,70,67
79,72,72,75,54
83,86,74,82,86
72,67,58,76,93
72,69,99,85,75
84,58,100,74,60
85,83,77,77,82
